method,d,mean_normalized_shd
SDCD-HIGH,10,2.7199999999999998
SDCD-HIGH,50,3.048
SDCD-HIGH,100,3.2080000000000006
SDCD-LOW,10,2.57
SDCD-LOW,50,6.398000000000001
SDCD-LOW,100,7.312
DAGMA,10,1.14
DAGMA,50,0.44600000000000006
DAGMA,100,0.298
SDCD-orig,10,2.1
SDCD-orig,50,1.3
SDCD-orig,100,0.9199999999999999
