method,d,mean_normalized_shd
SDCD-HIGH,5,0.18
SDCD-HIGH,10,0.20999999999999996
SDCD-HIGH,50,0.368
SDCD-HIGH,100,0.4050000000000001
SDCD-LOW,5,0.26000000000000006
SDCD-LOW,10,0.42000000000000004
SDCD-LOW,50,0.624
SDCD-LOW,100,0.6459999999999999
DAGMA,5,0.0
DAGMA,10,0.0
DAGMA,50,0.016
DAGMA,100,0.009999999999999998
