method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,10,0.5900000000000001
GOLEM-NOTEARS-EV,50,2.1260000000000003
GOLEM-NOTEARS-EV,100,1.9210000000000005
GOLEM-NOTEARS-NV,10,0.41
GOLEM-NOTEARS-NV,50,1.6199999999999999
GOLEM-NOTEARS-NV,100,1.6780000000000002
NOTEARS,10,1.1400000000000001
NOTEARS,50,2.1079999999999997
NOTEARS,100,2.403
DAGMA,10,0.58
DAGMA,50,0.392
DAGMA,100,0.378
