method,d,mean_normalized_sid
GOLEM-NOTEARS-EV,5,0.38
GOLEM-NOTEARS-EV,10,0.0
GOLEM-NOTEARS-EV,50,2.672
GOLEM-NOTEARS-EV,100,4.229
GOLEM-NOTEARS-NV,5,0.13999999999999999
GOLEM-NOTEARS-NV,10,0.7
GOLEM-NOTEARS-NV,50,0.7180000000000001
GOLEM-NOTEARS-NV,100,0.43099999999999994
NOTEARS,5,0.8800000000000001
NOTEARS,10,1.17
NOTEARS,50,5.328
NOTEARS,100,7.797
DAGMA,5,0.78
DAGMA,10,0.9199999999999999
DAGMA,50,1.1799999999999997
DAGMA,100,1.717
