method,d,mean_normalized_shd
GOLEM-EV,5,0.13999999999999999
GOLEM-EV,10,0.15
GOLEM-EV,50,2.598
GOLEM-EV,100,2.1380000000000003
GOLEM-NV,5,0.08
GOLEM-NV,10,0.18
GOLEM-NV,50,0.23399999999999999
GOLEM-NV,100,0.341
DAGMA,5,0.06000000000000001
DAGMA,10,0.12000000000000002
DAGMA,50,0.09200000000000001
DAGMA,100,0.087
