method,d,mean_normalized_shd
GOLEM-EV,5,0.12
GOLEM-EV,10,0.26
GOLEM-EV,50,2.846
GOLEM-EV,100,3.7329999999999997
GOLEM-NV,5,0.06000000000000001
GOLEM-NV,10,0.5
GOLEM-NV,50,0.6859999999999999
GOLEM-NV,100,0.755
DAGMA,5,0.42000000000000004
DAGMA,10,0.29
DAGMA,50,0.13399999999999998
DAGMA,100,0.11800000000000002
