method,d,mean_normalized_sid
GOLEM-NOTEARS-EV,5,0.06
GOLEM-NOTEARS-EV,10,0.06999999999999999
GOLEM-NOTEARS-EV,50,0.012
GOLEM-NOTEARS-EV,100,0.017
GOLEM-NOTEARS-NV,5,0.0
GOLEM-NOTEARS-NV,10,0.44000000000000006
GOLEM-NOTEARS-NV,50,0.0
GOLEM-NOTEARS-NV,100,0.5660000000000001
NOTEARS,5,0.0
NOTEARS,10,0.06
NOTEARS,50,0.23000000000000004
NOTEARS,100,0.373
DAGMA,5,0.06
DAGMA,10,0.0
DAGMA,50,0.06
DAGMA,100,0.06899999999999999
