method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,5,0.24
GOLEM-NOTEARS-EV,10,0.53
GOLEM-NOTEARS-EV,50,0.24000000000000005
GOLEM-NOTEARS-EV,100,0.083
GOLEM-NOTEARS-NV,5,0.28
GOLEM-NOTEARS-NV,10,0.65
GOLEM-NOTEARS-NV,50,0.4960000000000001
GOLEM-NOTEARS-NV,100,0.276
NOTEARS,5,0.4600000000000001
NOTEARS,10,0.52
NOTEARS,50,0.332
NOTEARS,100,0.377
DAGMA,5,0.48
DAGMA,10,0.29000000000000004
DAGMA,50,0.1
DAGMA,100,0.04
