method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,5,0.0
GOLEM-NOTEARS-EV,10,0.05
GOLEM-NOTEARS-EV,50,0.018
GOLEM-NOTEARS-EV,100,0.0
GOLEM-NOTEARS-NV,5,0.0
GOLEM-NOTEARS-NV,10,0.0
GOLEM-NOTEARS-NV,50,0.008
GOLEM-NOTEARS-NV,100,0.009
NOTEARS,5,0.06000000000000001
NOTEARS,10,0.14
NOTEARS,50,0.10600000000000001
NOTEARS,100,0.06
DAGMA,5,0.08
DAGMA,10,0.07
DAGMA,50,0.008
DAGMA,100,0.019
