method,d,mean_normalized_sid
GOLEM-NOTEARS-EV,10,2.04
GOLEM-NOTEARS-EV,50,7.7780000000000005
GOLEM-NOTEARS-EV,100,46.464999999999996
GOLEM-NOTEARS-NV,10,1.9699999999999995
GOLEM-NOTEARS-NV,50,10.702
GOLEM-NOTEARS-NV,100,46.249
NOTEARS,10,4.17
NOTEARS,50,24.15
NOTEARS,100,55.891999999999996
DAGMA,10,3.14
DAGMA,50,12.078
DAGMA,100,15.589999999999998
