method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,5,0.1
GOLEM-NOTEARS-EV,10,0.1
GOLEM-NOTEARS-EV,50,0.034
GOLEM-NOTEARS-EV,100,0.002
GOLEM-NOTEARS-NV,5,0.1
GOLEM-NOTEARS-NV,10,0.16999999999999998
GOLEM-NOTEARS-NV,50,0.0
GOLEM-NOTEARS-NV,100,0.10200000000000001
NOTEARS,5,0.0
NOTEARS,10,0.02
NOTEARS,50,0.03
NOTEARS,100,0.034999999999999996
DAGMA,5,0.04
DAGMA,10,0.0
DAGMA,50,0.008
DAGMA,100,0.01
