method,d,mean_normalized_sid
GOLEM-NOTEARS-EV,5,1.04
GOLEM-NOTEARS-EV,10,0.56
GOLEM-NOTEARS-EV,50,1.288
GOLEM-NOTEARS-EV,100,0.797
GOLEM-NOTEARS-NV,5,0.42000000000000004
GOLEM-NOTEARS-NV,10,1.19
GOLEM-NOTEARS-NV,50,5.956
GOLEM-NOTEARS-NV,100,4.275
NOTEARS,5,0.74
NOTEARS,10,1.89
NOTEARS,50,4.872
NOTEARS,100,7.061
DAGMA,5,1.1199999999999999
DAGMA,10,1.1
DAGMA,50,1.8199999999999998
DAGMA,100,1.182
