method,d,mean_normalized_sid
GOLEM-NOTEARS-EV,5,0.48
GOLEM-NOTEARS-EV,10,0.6699999999999999
GOLEM-NOTEARS-EV,50,1.4280000000000002
GOLEM-NOTEARS-EV,100,2.4010000000000002
GOLEM-NOTEARS-NV,5,0.8400000000000001
GOLEM-NOTEARS-NV,10,0.7200000000000001
GOLEM-NOTEARS-NV,50,3.18
GOLEM-NOTEARS-NV,100,1.2069999999999996
NOTEARS,5,1.6
NOTEARS,10,2.1399999999999997
NOTEARS,50,6.224
NOTEARS,100,10.315000000000001
DAGMA,5,1.34
DAGMA,10,1.92
DAGMA,50,4.585999999999999
DAGMA,100,5.284000000000001
