method,d,mean_normalized_sid
GOLEM-NOTEARS-EV,5,0.22000000000000003
GOLEM-NOTEARS-EV,10,0.29
GOLEM-NOTEARS-EV,50,2.5
GOLEM-NOTEARS-EV,100,2.742
GOLEM-NOTEARS-NV,5,0.86
GOLEM-NOTEARS-NV,10,1.05
GOLEM-NOTEARS-NV,50,2.9259999999999997
GOLEM-NOTEARS-NV,100,1.677
NOTEARS,5,1.2600000000000002
NOTEARS,10,2.5500000000000003
NOTEARS,50,8.172
NOTEARS,100,12.856
DAGMA,5,1.2
DAGMA,10,1.3800000000000001
DAGMA,50,4.276
DAGMA,100,5.414
