method,d,mean_normalized_sid
GOLEM-NOTEARS-EV,5,0.0
GOLEM-NOTEARS-EV,10,0.1
GOLEM-NOTEARS-EV,50,0.792
GOLEM-NOTEARS-EV,100,0.418
GOLEM-NOTEARS-NV,5,0.38
GOLEM-NOTEARS-NV,10,0.78
GOLEM-NOTEARS-NV,50,0.342
GOLEM-NOTEARS-NV,100,0.21399999999999997
NOTEARS,5,0.22000000000000003
NOTEARS,10,0.2
NOTEARS,50,0.51
NOTEARS,100,0.6579999999999999
DAGMA,5,0.2
DAGMA,10,0.16999999999999998
DAGMA,50,0.30599999999999994
DAGMA,100,0.5579999999999999
