method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,10,0.48999999999999994
GOLEM-NOTEARS-EV,50,2.016
GOLEM-NOTEARS-EV,100,2.6420000000000003
GOLEM-NOTEARS-NV,10,0.75
GOLEM-NOTEARS-NV,50,2.032
GOLEM-NOTEARS-NV,100,2.916
NOTEARS,10,1.7000000000000004
NOTEARS,50,2.5959999999999996
NOTEARS,100,2.807
DAGMA,10,1.72
DAGMA,50,0.9020000000000001
DAGMA,100,0.733
