method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,5,0.1
GOLEM-NOTEARS-EV,10,0.41000000000000003
GOLEM-NOTEARS-EV,50,1.264
GOLEM-NOTEARS-EV,100,1.001
GOLEM-NOTEARS-NV,5,0.27999999999999997
GOLEM-NOTEARS-NV,10,0.26000000000000006
GOLEM-NOTEARS-NV,50,0.26200000000000007
GOLEM-NOTEARS-NV,100,0.205
NOTEARS,5,0.6799999999999999
NOTEARS,10,0.41
NOTEARS,50,0.304
NOTEARS,100,0.5539999999999999
DAGMA,5,0.6
DAGMA,10,0.39
DAGMA,50,0.148
DAGMA,100,0.10700000000000001
