method,d,mean_normalized_shd
GOLEM-NOTEARS-EV,10,0.15
GOLEM-NOTEARS-EV,50,1.492
GOLEM-NOTEARS-EV,100,2.137
GOLEM-NOTEARS-NV,10,0.56
GOLEM-NOTEARS-NV,50,0.9199999999999999
GOLEM-NOTEARS-NV,100,2.212
NOTEARS,10,1.94
NOTEARS,50,2.35
NOTEARS,100,2.287
DAGMA,10,1.7600000000000002
DAGMA,50,0.9219999999999999
DAGMA,100,0.6930000000000001
